database_id,spotify_id,song_name,preview_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
5bb7ac8a0c27ee4c381dd6e3,6M6CXOajkcVjIOPxVWA2dv,NuruNuru Rap,https://p.scdn.co/mp3-preview/17788f34d50a7d004850ce6520f251a5c8d3b5fa?cid=0122489fce4b4cb7a933550fb5ebcbf7,0.585,0.929,2,-4.535,1,0.223,0.185,2.46E-06,0.379,0.825,109.808
5bb7ac8a0c27ee4c381dd6e4,0dHmtpid59y9zgBbDWqvHl,Hikari,https://p.scdn.co/mp3-preview/dba1d4e9ca145646553e73511751b7fff6fe3512?cid=0122489fce4b4cb7a933550fb5ebcbf7,0.353,0.945,9,-3.555,1,0.0919,0.0734,0.00315,0.34,0.643,114.622
5bb7ac8a0c27ee4c381dd6e5,5EHtUEFJ9trrc3cNNfBfJj,Hikariare,https://p.scdn.co/mp3-preview/823d719f021b1b3b2b787d01adfb79c5a110b96a?cid=0122489fce4b4cb7a933550fb5ebcbf7,0.32,0.939,7,-1.74,1,0.13,0.0112,0,0.363,0.348,178.096
5bb7ac8a0c27ee4c381dd6e6,4xPftzZ7ImXMcYEvHXz7Mq,Are you ready to FIGHT,https://p.scdn.co/mp3-preview/11c6f2b3e96f56eaf429059583577424a27b5392?cid=0122489fce4b4cb7a933550fb5ebcbf7,0.261,0.871,7,-3.304,1,0.0738,0.000649,0,0.32,0.474,169.853
5bb7ac8a0c27ee4c381dd6e7,6XYur2KmzwfpOJy23y8ZnO,LOVE GOOD TIME,https://p.scdn.co/mp3-preview/68967207ee574089359dd63268ba6434054d763b?cid=0122489fce4b4cb7a933550fb5ebcbf7,0.38,0.92,7,-1.458,1,0.0668,0.0241,0,0.138,0.653,164.855
5bb7ac8a0c27ee4c381dd6e8,3YGFTqX1bXFdPiF4T19BkX,不安定な神様,https://p.scdn.co/mp3-preview/5ff9959a1fc4008be2fe01c23f629bede713ff23?cid=0122489fce4b4cb7a933550fb5ebcbf7,0.533,0.95,10,-5.455,1,0.0508,0.00827,0.00148,0.123,0.63,155.994
5bb7ac8a0c27ee4c381dd6e9,6nhKN071P71YddOZUkPV6b,Body Rock,https://p.scdn.co/mp3-preview/c0da19e21bd741f3eb5159e087afaf65ffd113a5?cid=0122489fce4b4cb7a933550fb5ebcbf7,0.658,0.942,0,-1.99,1,0.122,0.0134,0,0.108,0.65,133.007
5bb7ac8a0c27ee4c381dd6ea,4PR27vtUZsoiaUlQ6NNYyW,Brave Shine,https://p.scdn.co/mp3-preview/cd570c4512c1f134264b9f3709f77858e346e373?cid=0122489fce4b4cb7a933550fb5ebcbf7,0.278,0.909,8,-3.651,1,0.125,0.000688,0.000212,0.217,0.458,113.97
5bb7ac8a0c27ee4c381dd6eb,5wa2hZB7RPTiXuapfogEbU,En Ring Til Aa Herske,https://p.scdn.co/mp3-preview/fb3c3fc0507a0e6213a73b42d7200cab73c251f8?cid=0122489fce4b4cb7a933550fb5ebcbf7,0.158,0.541,6,-11.701,0,0.0411,0.0505,0.901,0.126,0.258,138.635
5bb7ac8a0c27ee4c381dd6ec,5dLk1MR2SA1IdofFy9WA5A,Slottet I Det Fjerne - Studio,https://p.scdn.co/mp3-preview/60fdae7b6e6ddf7bde1f5e0e339f4db770e9ac4b?cid=0122489fce4b4cb7a933550fb5ebcbf7,0.183,1,6,-3.933,1,0.144,0.123,0.842,0.916,0.0115,140.792
5bb7ac8a0c27ee4c381dd6ed,1UHVzOGLkmjsrdL1iHoxe9,In Our Mystic Visions Blest,https://p.scdn.co/mp3-preview/b1bbbd9425c533c07108a6196582213e1b2da0c3?cid=0122489fce4b4cb7a933550fb5ebcbf7,0.164,0.931,2,-5.512,1,0.113,1.06E-06,0.754,0.31,0.0948,145.132
5bb7ac8a0c27ee4c381dd6ee,5iQyl3tVzjcyIaTMN8X7AL,Metal Heart,https://p.scdn.co/mp3-preview/9428c49958c657a615a468b14e2cec10a8e432c0?cid=0122489fce4b4cb7a933550fb5ebcbf7,0.186,0.95,7,-4.895,1,0.0779,0.00426,0.0521,0.157,0.217,132.141
5bb7ac8a0c27ee4c381dd6ef,5fkc0pqxmxxmBb8VUmDSoy,War,https://p.scdn.co/mp3-preview/8facb7811b7fe250b81adc934d4f903d783092d4?cid=0122489fce4b4cb7a933550fb5ebcbf7,0.196,0.643,11,-7.803,0,0.0445,1.07E-06,0.708,0.309,0.248,92.272
